referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
F. Cosso,3,4.333,4.189,1.0346,1.008,135
A. Santoro,3,5.0,4.189,1.1937,1.0447,135
Denis Ribeiro Serafim,3,6.333,5.329,1.1886,1.0435,71
António Nobre,3,1.667,4.538,0.3673,0.854,"2,3"
M. Al Hakim,3,4.333,4.809,0.9012,0.9772,3
B. Berke,3,5.0,4.809,1.0398,1.0092,3
J. Weinberger,3,4.667,4.809,0.9705,0.9932,3
E. Özdamar,3,6.0,4.969,1.2075,1.0479,203
P. Dóvalo,3,2.0,5.505,0.3633,0.8531,128
B. Ferreyra,3,4.667,5.505,0.8477,0.9648,128
J. Baliño,3,2.667,5.505,0.4844,0.881,128
"Mario Alberto Diaz de Vivar Bogado, Paraguay",3,4.0,5.003,0.7995,0.9537,"11,13"
G. Guerrero,3,3.667,4.921,0.7451,0.9412,"11,13"
E. Ostojich,3,6.333,5.085,1.2456,1.0567,13
C. Garay,3,5.0,4.921,1.016,1.0037,"11,13"
P. Maza,3,6.667,5.085,1.3111,1.0718,13
"Benitez, Carlos P., Paraguay",3,9.667,4.921,1.9643,1.2225,"11,13"
S. Zunino,3,5.667,5.505,1.0293,1.0068,128
B. Kolak,3,4.0,4.969,0.805,0.955,203
"Ostling, Joakim, Sweden",3,4.667,3.965,1.1769,1.0408,113
Wilmar Alexander Roldán Pérez,3,7.667,5.085,1.5078,1.1172,13
Juan Gabriel Benítez,3,5.0,5.085,0.9834,0.9962,13
Felipe Andrés González Alveal,3,5.0,5.085,0.9834,0.9962,13
"Guillermo Enrique Guerrero Alcivar, Ecuador",3,3.0,4.921,0.6096,0.9099,"11,13"
"Felipe Gonzalez, Chile",3,5.0,4.921,1.016,1.0037,"11,13"
Andrés José Rojas Noguera,3,5.333,5.085,1.0489,1.0113,13
"Mathias De Armas, Uruguay",3,4.333,4.921,0.8805,0.9724,"11,13"
"Roberto Perez Gutierrez, Peru",3,5.667,4.84,1.1709,1.0394,11
"Jose Mendez, Paraguay",3,4.333,4.84,0.8954,0.9759,11
"Arda Kardesler, Türkiye",3,5.667,4.969,1.1404,1.0324,203
"Carlos Betancur, Colombia",3,6.333,4.921,1.2869,1.0662,"11,13"
"Erdem Mertoglu, Türkiye",3,6.667,4.969,1.3417,1.0788,203
"Andre Luis Skettino Policarpo Bento, Brazil",3,6.667,5.329,1.2511,1.058,71
"Matt Donohue, England",3,5.0,4.254,1.1753,1.0404,39
S. Gozubuyuk,3,4.0,3.997,1.0009,1.0002,2
"Farai Hallam, England",3,3.0,4.254,0.7052,0.932,39
"Resat Onur Coskunses, Türkiye",3,5.0,4.969,1.0062,1.0014,203
Y. Perez,3,3.0,5.283,0.5678,0.9003,"11,128"
I. Kovacs,3,5.333,4.267,1.2498,1.0577,"2,3"
F. Hallam,3,2.667,4.129,0.6458,0.9183,45
D. Ghersini,2,1.5,4.189,0.3581,0.893,135
R. Welch,2,4.5,4.254,1.0577,1.0096,39
