team_id,nombre_db,oddsapi_name
9852,Lourdes,
9858,Valle Egüés,
9859,Alberite,
9860,Alfaro,
9868,Náxara,
9879,Barbastro,
9886,Cuarte,
9891,Utebo,
9900,Guadalajara,
9906,Quintanar del Rey,
9908,Toledo,
10013,Cusco,
10139,AD Ceuta FC,
10140,Mérida AD,
10487,Sportivo Ameliano,
10492,ADT,
12733,Ballkani,
14395,Llapi,
15315,La Unión Atlético,
15318,Campanario,
15348,Torrent,
15358,Estepona,
15359,Juventud Torremolinos,
16612,Ciudad de Bolívar,
17562,UD San Pedro,
17760,San Antonio Bulo Bulo,
17762,Universitario de Vinto,
18090,Ceuta 6 de Junio,
18764,Argentino Monte Maíz,
20034,Corvinul Hunedoara,
20259,Aurrerá Vitoria,
20277,Cieza,
20450,Universitario FC,
21043,Sportivo Atenas,
21905,Chiclana,
22136,Reddis,
22145,Atlético Melilla,
22266,Gualberto Villarroel SJ,
23255,Sarmiento de La Banda,
24574,Atlètic Lleida,
24612,Extremadura 1924,
25030,Astur,
25031,Dolorense,
25032,Gévora,
25033,Manises,
25034,Ontiñena,
25035,Parla Escuela,
25036,Playas Sotavento,
25037,Promesas EDF,
25038,San Tirso,
25039,Sonseca,
25040,Sporting Mahón,
25041,Vic,
25042,Villamuriel,
25758,Gimnasia Chivilcoy,
26727,Atletico Calatayud,
26728,Betis Valladolid,
26729,CD Sant Jordi,
26730,CD Yuncos,
26731,Deportivo Getxo,
26732,Inter de Valdemoro,
26733,Palma del Rio,
26734,Puerto de Vega,
26735,SD Negreira,
26736,Sant Just,
26737,Sporting Ceuta,
