fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-24 21:06,1492055,River Plate vs Aldosivi,"('Liga Profesional', False)",Goles Aldosivi O/U 0.5,Over/Si,2.38,0.6422,0.3913,0.2509,0.5284,v3.6,Goles,Visitante,W,2.62,-9.16,2026-04-26 00:14,,,exact
2026-04-24 21:06,1492055,River Plate vs Aldosivi,"('Liga Profesional', False)",Goles Aldosivi O/U 1.5,Over/Si,10.00,0.2746,0.0958,0.1788,1.7463,v3.6,Goles,Visitante,L,13.00,-23.08,2026-04-26 00:14,,,exact
2026-04-24 21:06,1492055,River Plate vs Aldosivi,"('Liga Profesional', False)",BTTS,Over/Si,2.62,0.4703,0.3547,0.1156,0.2321,v3.6,BTTS,Total,W,3.00,-12.67,2026-04-26 00:14,,,exact
2026-04-24 21:10,1388585,VfB Stuttgart vs Werder Bremen,"('Bundesliga', False)",Goles tot. O/U 3.5,Under/No,1.73,0.6807,0.5483,0.1324,0.1777,v3.6,Goles,Total,W,,,,,,
2026-04-24 21:10,1388585,VfB Stuttgart vs Werder Bremen,"('Bundesliga', False)",BTTS,Under/No,2.38,0.4536,0.3913,0.0623,0.0797,v3.6,BTTS,Total,L,,,,,,
2026-04-24 21:10,1388579,Borussia Dortmund vs SC Freiburg,"('Bundesliga', False)",Goles SC Freiburg O/U 0.5,Over/Si,1.62,0.7262,0.5759,0.1503,0.1764,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:10,1388579,Borussia Dortmund vs SC Freiburg,"('Bundesliga', False)",Goles SC Freiburg O/U 1.5,Over/Si,4.00,0.3750,0.2337,0.1412,0.4998,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:10,1388579,Borussia Dortmund vs SC Freiburg,"('Bundesliga', False)",BTTS,Over/Si,1.80,0.5664,0.5200,0.0464,0.0194,v3.6,BTTS,Total,L,,,,,,
2026-04-24 21:11,1492239,Sao Paulo vs Mirassol,"('Brasileirao Serie A', False)",BTTS,Over/Si,1.91,0.5459,0.5000,0.0459,0.0426,v3.6,BTTS,Total,L,1.95,-2.05,2026-04-25 23:04,,,exact
2026-04-24 21:11,1492237,Gremio vs Coritiba,"('Brasileirao Serie A', False)",Goles Coritiba O/U 0.5,Over/Si,1.57,0.6936,0.5890,0.1046,0.0890,v3.6,Goles,Visitante,L,1.57,+0.00,2026-04-26 18:44,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",Goles tot. O/U 2.5,Over/Si,2.20,0.5831,0.4286,0.1546,0.2829,v3.6,Goles,Total,W,2.20,+0.00,2026-04-26 21:14,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",Goles tot. O/U 1.5,Over/Si,1.40,0.8062,0.6818,0.1244,0.1287,v3.6,Goles,Total,W,1.36,+2.94,2026-04-26 21:14,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",Goles tot. O/U 3.5,Over/Si,4.00,0.3597,0.2381,0.1216,0.4386,v3.6,Goles,Total,W,4.00,+0.00,2026-04-26 21:14,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",Goles Vitoria O/U 0.5,Over/Si,1.73,0.7318,0.5362,0.1956,0.2660,v3.6,Goles,Visitante,W,1.83,-5.46,2026-04-26 21:14,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",Goles Vitoria O/U 1.5,Over/Si,5.00,0.3781,0.1896,0.1885,0.8905,v3.6,Goles,Visitante,L,6.00,-16.67,2026-04-26 21:14,,,exact
2026-04-24 21:11,1492230,Atletico Paranaense vs Vitoria,"('Brasileirao Serie A', False)",BTTS,Over/Si,2.10,0.5784,0.4430,0.1355,0.2147,v3.6,BTTS,Total,W,2.20,-4.55,2026-04-26 21:14,,,exact
2026-04-24 21:12,1492234,RB Bragantino vs Palmeiras,"('Brasileirao Serie A', False)",Goles tot. O/U 2.5,Over/Si,2.10,0.5784,0.4474,0.1311,0.2147,v3.6,Goles,Total,L,2.25,-6.67,2026-04-26 21:14,,,exact
2026-04-24 21:12,1492234,RB Bragantino vs Palmeiras,"('Brasileirao Serie A', False)",BTTS,Over/Si,1.80,0.5847,0.5200,0.0648,0.0526,v3.6,BTTS,Total,L,1.95,-7.69,2026-04-26 21:14,,,exact
2026-04-24 21:12,1492236,Fluminense vs Chapecoense-sc,"('Brasileirao Serie A', False)",Goles Chapecoense-sc O/U 0.5,Over/Si,1.91,0.6989,0.4852,0.2137,0.3349,v3.6,Goles,Visitante,W,1.91,+0.00,2026-04-26 23:14,,,exact
2026-04-24 21:12,1492236,Fluminense vs Chapecoense-sc,"('Brasileirao Serie A', False)",Goles Chapecoense-sc O/U 1.5,Over/Si,6.50,0.3375,0.1459,0.1917,1.1939,v3.6,Goles,Visitante,L,6.50,+0.00,2026-04-26 23:14,,,exact
2026-04-24 21:12,1492236,Fluminense vs Chapecoense-sc,"('Brasileirao Serie A', False)",BTTS,Over/Si,2.10,0.5554,0.4430,0.1125,0.1664,v3.6,BTTS,Total,W,2.10,+0.00,2026-04-26 23:14,,,exact
2026-04-24 21:12,1492231,Atletico-MG vs Flamengo,"('Brasileirao Serie A', False)",Goles Flamengo O/U 1.5,Under/No,1.67,0.6570,0.5570,0.1000,0.0972,v3.6,Goles,Visitante,L,1.62,+3.09,2026-04-26 23:14,,,exact
2026-04-24 21:12,1492231,Atletico-MG vs Flamengo,"('Brasileirao Serie A', False)",BTTS,Over/Si,1.95,0.5743,0.4800,0.0943,0.1198,v3.6,BTTS,Total,L,1.91,+2.09,2026-04-26 23:14,,,exact
2026-04-24 21:13,1378197,Genoa vs Como,"('Serie A', False)",Goles Como O/U 1.5,Under/No,1.80,0.6712,0.5148,0.1564,0.2081,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:13,1378197,Genoa vs Como,"('Serie A', False)",Goles Como O/U 2.5,Under/No,1.22,0.8864,0.7663,0.1201,0.0814,v3.6,Goles,Visitante,W,,,,,,
2026-04-24 21:13,1378197,Genoa vs Como,"('Serie A', False)",BTTS,Over/Si,1.91,0.5499,0.5000,0.0499,0.0503,v3.6,BTTS,Total,L,,,,,,
2026-04-24 21:13,1378202,Torino vs Inter,"('Serie A', False)",Goles Inter O/U 1.5,Under/No,2.62,0.6788,0.3547,0.3241,0.7784,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:13,1378202,Torino vs Inter,"('Serie A', False)",Goles Inter O/U 2.5,Under/No,1.50,0.8899,0.6250,0.2649,0.3349,v3.6,Goles,Visitante,W,,,,,,
2026-04-24 21:13,1378202,Torino vs Inter,"('Serie A', False)",Goles Inter O/U 0.5,Under/No,8.00,0.3165,0.1189,0.1975,1.5317,v3.6,Goles,Visitante,L,,,,,,
2026-04-24 21:13,1378202,Torino vs Inter,"('Serie A', False)",BTTS,Over/Si,1.80,0.5830,0.5200,0.0630,0.0494,v3.6,BTTS,Total,W,,,,,,
2026-04-24 21:16,1494147,Djurgardens IF vs Hammarby FF,"('Allsvenskan', False)",Goles Hammarby FF O/U 1.5,Under/No,1.67,0.6859,0.5570,0.1289,0.1455,v3.6,Goles,Visitante,W,,,,,,
2026-04-24 21:16,1494147,Djurgardens IF vs Hammarby FF,"('Allsvenskan', False)",Goles Hammarby FF O/U 2.5,Under/No,1.18,0.8933,0.7923,0.1011,0.0541,v3.6,Goles,Visitante,W,,,,,,
2026-04-24 21:18,1392164,Cordoba vs Sporting Gijon,"('LaLiga 2', False)",Goles tot. O/U 3.5,Under/No,1.44,0.7798,0.6453,0.1344,0.1229,v3.6,Goles,Total,L,,,,,,
