fid,fecha,liga,atk_L,atk_V,def_L,def_V,mu_L,mu_V,mu_cor,mu_sh_L,mu_sh_V,g_L,g_V,c_L,c_V,s_L,s_V
1217645,2024-11-10,141,0.7756332961600154,1.235449311341649,0.9068570749711059,0.8214696104254182,0.8237682679753014,1.278819152669935,9.533575716541378,13.010828950885566,11.70370423348361,1,2,5,2,11,12
1217650,2024-11-10,141,1.176702859541599,1.3752907154218887,0.7732895364788831,1.077601494798851,1.684541053784504,1.3016635764614048,9.483817875255754,15.548582363316605,10.019181928663336,2,2,8,6,18,14
1223705,2024-11-10,135,1.881647941324987,0.9371683518526116,0.8659770557640453,1.290176184454181,3.8068812570280177,1.034431891993144,9.469383593792763,16.45893949312203,9.872300404552936,2,1,4,5,10,11
1223707,2024-11-10,135,1.4524978050192772,0.9014325853766383,0.8204453050621784,1.5776502986873013,3.3714708833229414,0.9534192885287104,9.465309552015269,16.889902608240284,8.501397113738095,3,1,8,3,11,8
1223709,2024-11-10,135,1.476014991385039,1.1904782529545064,0.8655288310388723,0.7073281306273296,1.5399040376831563,1.207431955184043,9.521579227947361,14.974071203248643,9.725331500011048,1,1,4,2,13,5
1223712,2024-11-10,135,0.7536936724697653,1.4318292267190067,1.0052079452796676,1.1387615164335458,1.2133559895070962,1.8410506227316465,9.445868972797745,10.211449281765892,13.734755656812759,0,1,6,6,12,14
1223713,2024-11-10,135,1.0087158797472497,1.175724954171091,0.6802731316463665,1.0380669446399997,1.4332041315391404,1.0209708352431959,9.45702816047526,14.299929152346891,11.354784585499026,2,3,4,3,15,15
1224056,2024-11-10,78,1.4048710802306585,1.0122819991589826,0.7640023437011716,1.1125770698417834,2.776136371152748,1.1607914194834823,9.887444773994682,19.173324757358756,10.76159845295739,2,3,8,3,22,8
1224058,2024-11-10,78,0.7651367040330348,1.0213032273895282,0.7471550972711846,0.9663387511946808,1.3020490581174857,1.1987166038980153,9.875528396189923,13.497162664605485,12.508024697032955,1,3,5,5,19,13
1224060,2024-11-10,78,1.0316070696387458,0.9104418078746142,0.8803425622034827,1.1015327598110203,2.127105427307009,1.1677088075788054,9.883060919813095,18.58657816518347,9.669722337697845,0,0,10,6,16,11
